,IDENTIFICATION,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS
3639,10687,Technique,Sociale,Mont Sion II,inconnu
3640,10688,Technique,Sociale,CS Matendo,inconnu
3641,10689,Pédagogique,Pédagogie Générale,Mont Carmel,inconnu
3642,10690,Littéraire,Latin philosophie,Metanoia,inconnu
3643,10691,Technique,Commerciale et Administrative,Mwanga,inconnu
3644,10692,Technique,Sociale,Lycée Sante Ursule,inconnu
3645,10693,Littéraire,Latin philosophie,CS Les Aigles de Dieu,inconnu
3646,10694,Technique,Construction,Saint Marc,inconnu
3647,10695,Technique,Construction,Saint Marc,inconnu
3648,10696,Scientifique,Biologie Chimie,Umoja,inconnu
3649,10697,Technique,Sociale,Nyabushongo,inconnu
3650,10698,Pédagogique,Pédagogie générale,CS Beroya,inconnu
3651,10699,Technique,Commerciale et Administration,CS Conglais (au Burundi),inconnu
3652,10700,Pédagogique,Pédagogie générale,Metanoia,inconnu
3653,10701,Pédagogique,Pédagogie générale,Msawato,inconnu
3654,10702,Pédagogique,Pédagogie générale,Ibanda,inconnu
3655,10703,Technique,Commerciale et Administrative,Lycée Pain de vie,inconnu
3656,10704,Littéraire,Latin Philosophie,Kyatenga/Kiviriri,inconnu
3657,10705,Pédagogique,Pédagogie Générale,Nyakalengwa,inconnu
3658,10706,Pédagogique,Pédagogie Générale,Camp FAC,inconnu
3659,10707,Pédagogique,Pédagogie Générale,Kamole,inconnu
3660,10708,Littéraire,Latin Philosophie,Metanoia,inconnu
3661,10709,Pédagogique,Pédagogie Générale,Mambo,inconnu
3662,10710,Technique,Commerciale et Administrative,Lycée Anuarité,inconnu
3663,10711,Technique,Commerciale Informatique,Mgr Guido,inconnu
3664,10712,Technique,Commerciale et Administrative,Zanner,inconnu
3665,10713,Technique,Commerciale et Dministrative,Katwa,inconnu
3666,10714,Technique,Commerciale et Aministrative,Lycée Nyakavogo,inconnu
3667,10715,Scientifique,Mathématique Physique,Majengo,inconnu
3668,10716,Pédagogique,Pédagogie Générale,Ushindi,inconnu
3669,10717,Pédagogique,Pédagogie Générale,Tuzo,inconnu
3670,10718,Technique,Construction,Saint Marc,inconnu
3671,10719,Technique,Commerciale et Administrative,Mwanga,inconnu
3672,10720,Technique,Commerciale et Administrative,Mwanga,inconnu
3673,10721,Pédagogique,Pédagogie Générale,Kayadja,inconnu
3674,10722,Scientifique,Mathématique Physique,EDAP/ISP-Bukavu,inconnu
3675,10723,Technique,Sociale,CS Ndosho,inconnu
3676,10724,Littéraire,Latin Philosophie,Mwanga,inconnu
3677,10725,Technique,Commerciale et Administrative,Goma,inconnu
3678,10726,Technique,Coupe couture,Lycée Chemchem,inconnu
3679,10727,Littéraire,Latin Philosophie,Metanoia,inconnu
3680,10728,Littéraire,Latin Philosophie,Z,inconnu
3681,10729,Technique,Sociale,Lycée Sainte Ursule,inconnu
3682,10730,Technique,Commerciale et Administrative,Maendeleo,inconnu
3683,10731,Scientifique,Biologie-Chimie,Metanoia,inconnu
3684,10732,Pédagogique,Pédagogie Générale,Fadhili,inconnu
3685,10733,Pédagogique,Pédagogie Générale,Moria,inconnu
3686,10734,Pédagogique,Pédagogie Générale,Elise,inconnu
3687,10735,Technique,Commerciale et Administrative,Mwanga,inconnu
3688,10736,Technique,Sociale,Bemba gombo,inconnu
3689,10738,Pédagogique,Pédagogie Générale,Kirikiri,inconnu
3690,10739,Littéraire,Latin Philosophie,Kantundwe,inconnu
3691,10740,Technique,Commerciale et Administrative,Moria,inconnu
3692,10741,Pédagogique,Pédagogie Générale,Maranatha,inconnu
3693,10742,Pédagogique,Pédagogie Générale,Tumba,inconnu
3694,10743,Technique,Commerciale et Administrative,Faraja,inconnu
3695,10744,Technique,Commerciale et Administrative,Jjardin de fleurs,inconnu
3696,10745,Scientifique,Biologie Chimie,Metanoia,inconnu
3697,10746,Scientifique,Biologie Chimie,GSCCMKigali,inconnu
3698,10747,Technique,Sociale,Alleluya,inconnu
3699,10748,Technique,Sociale,Sayuni,inconnu
3700,10749,Technique,Sociale,Lycée Sainte Ursule,inconnu
3701,10750,Technique,Commerciale et Administrative,Majengo,inconnu
3702,10751,Pédagogique,Pédagogie Générale,Tumba,inconnu
3703,10752,Littéraire,Latin Philosophie,Lycée Mwandu,inconnu
3704,10753,Littéraire,Latin Philosophie,Mwanga,inconnu
3705,10754,Pédagogique,Pédagogie Générale,Mabalako,inconnu
3706,10755,Technique,Commerciale et Administrative,Lycée Chemchem ya uzima,inconnu
3707,10756,Scientifique,Biologie Chimie,Mama yetu,inconnu
3708,10757,Scientifique,Biologie Chimie,Tumba,inconnu
3709,10758,Littéraire,Latin Philosophie,Zanner,inconnu
3710,10759,Technique,Commerciale Informatique,Saint Joseph,inconnu
3711,10760,Pédagogique,Pédagogie Générale,Metanoia,inconnu
3712,10761,Littéraire,Latin Philosophie,Metanoia,inconnu
3713,10762,Littéraire,Latin Philosophie,Metanoia,inconnu
3714,10763,Littéraire,Latin Philosophie,Bobokoli,inconnu
3715,10764,Scientifique,Mathématique-Physique,Goma,inconnu
3716,10765,Pédagogique,Pédagogie Générale,Augustino,inconnu
3717,10766,Pédagogique,Pédagogie Générale,Mont carmel,inconnu
3718,10767,Technique,Sociale,Mont carmel,inconnu
3719,10768,Technique,Commerciale et Administrative,Saint Joseph,inconnu
3720,10769,Scientifique,Biologie Chimie,La fontaine,inconnu
3721,10770,Technique,Sociale,CS Katasoyire,inconnu
3722,10771,Technique,Commerciale Informatique,Lycée Kimbilio,inconnu
3723,10772,Scientifique,Mathématique-Physique,Faraja,inconnu
3724,10773,Technique,Electricité Industrielle,Kyeshero,inconnu
3725,10774,Pédagogique,Pédagogie Générale,Nyakalengwa,inconnu
3726,10775,Littéraire,Latin Philosophie,Mwanga,inconnu
3727,10776,Pédagogique,Pédagogie Générale,Msawato,inconnu
3728,10777,Pédagogique,Pédagogie Générale,Source du savoir,inconnu
3729,10778,Scientifique,Mathématique-Physique,Kisungu,inconnu
3730,10779,Littéraire,Latin-Philosophie,Mwanga,inconnu
3731,10780,Technique,Commerciale et Administrative,Metanoia,inconnu
3732,10781,Littéraire,Latin-Philosophie,Mwanga,inconnu
3733,10782,Pédagogique,Pédagogie générale,Lwanga,inconnu
3734,10783,Pédagogique,Pédagogie Générale,Metanoia,inconnu
3735,10784,Technique,Nutrition,Saint Michel,inconnu
3736,10785,Pédagogique,Pédagogie Générale,Minova,inconnu
3737,10786,Pédagogique,Pédagogie générale,Lukanga,inconnu
3738,10787,Scientifique,Biologie Chimie,ICL,inconnu
3739,10788,Pédagogique,Pédagogie générale,C.S. Ndosho,inconnu
3740,10789,Pédagogique,Pédagogie générale,Kalangala,inconnu
3741,10790,Littéraire,Latin Philosophie,Visogho,inconnu
3742,10791,Pédagogique,Pédagogie générale,Maranatha,inconnu
3743,10792,Technique,Mécanique Générale,Maranatha,inconnu
3744,10793,Technique,Sociale,Hekima,inconnu
3745,10794,Technique,Sociale,Totoro,inconnu
3746,10795,Technique,Sociale,Maendeleo,inconnu
3747,10796,Scientifique,Biologie-Chimie,Faraja,inconnu
3748,10797,Technique,Sociale,Mikeno Islamique,inconnu
3749,10798,Technique,Sociale,Mont Carmel,inconnu
3750,10799,Scientifique,Mathématique Physique,Faraja,inconnu
3751,10800,Littéraire,Latin-Philosophie,Zanner,inconnu
3752,10801,Technique,Commerciale et Administrative,Zanner,inconnu
3753,10804,Pédagogique,Pédagogie générale,Mavuno,inconnu
3754,10805,Pédagogique,Pédagogie générale,Faraja,inconnu
3755,10806,Scientifique,Biologie-Chimie,Malkia wa mbingu,inconnu
3756,10807,Pédagogique,Pédagogie générale,Kashofu,inconnu
3757,10808,Technique,Sociale,Kanzulinzuli,inconnu
3758,10809,Scientifique,Biologie-Chimie,Isidore Bakanja,inconnu
3759,10810,Technique,Electricité générale,Tsololo,inconnu
3760,10811,Technique,Sociale,CS Nuru,inconnu
3761,10812,Scientifique,Math Physique,Majengo,inconnu
3762,10813,Technique,Commerciale et Administrative,Mikeno Officiel,inconnu
3763,10814,Pédagogique,Pédagogie générale,Kashofu,inconnu
3764,10815,Pédagogique,Pédagogie générale,Mont Goma,inconnu
3765,10816,Pédagogique,Pédagogie générale,La sagesse,inconnu
3766,10817,Pédagogique,Pédagogie générale,CS Mapendo/Ngese,inconnu
3767,10818,Technique,Commerciale et Administrative,Tumaini,inconnu
3768,10819,Technique,Commerciale et Administrative,GC Tanzanie,inconnu
3769,10820,Technique,Commerciale et Administrative,Maendeleo,inconnu
3770,10821,Technique,Sociale,Action Kusaidia,inconnu
3771,10822,Pédagogique,Pédagogie générale,Lycéé Anuarité,inconnu
3772,10823,Pédagogique,Pédagogie générale,Ibanda,inconnu
3773,10824,Technique,Commerciale et Administrativie,Metanoia,inconnu
3774,10825,Scientifique,Biologie Chimie,ICL,inconnu
3775,10826,Technique,Sociale,Katasoyire,inconnu
3776,10827,Technique,Commerciale et Administrative,Isidore Bakanja,inconnu
3777,10828,Technique,Commerciale informatique,Vungi,inconnu
3778,10829,Pédagogique,Pédagogie Générale,Homefeyen,inconnu
3779,10830,Technique,Commerciale et Administrative,CS Lukuga,inconnu
3780,10831,Pédagogie,Pédagogie générale,Ihimbi,inconnu
3781,10832,Technique,Sociale,Hekima,inconnu
3782,10833,Pédagogique,Pédagogie Générale,Metanoia,inconnu
3783,10834,Pédagogique,Pédagogie Générale,Weza,inconnu
3784,10835,Technique,Sociale,UMOJA,inconnu
3785,10836,Technique,Commerciale et Administrative,Garamba,inconnu
3786,10837,Technique,Commerciale et Administrative,Majengo,inconnu
3787,10838,Technique,Commerciale informatique,Faraja,inconnu
3788,10839,Littéraire,Latin-Philosophie,Kirumba,inconnu
3789,10840,Technique,Sociale,Katasoyire,inconnu
3790,10841,Littéraire,Latin-Philosophie,Kalumbwa,inconnu
3791,10842,Pédagogique,Pédagogie Générale,CS Bahunga,inconnu
3792,10843,Pédagogique,Pédagogie Générale,Mandayi,inconnu
3793,10844,Pédagogique,Pédagogie Générale,Mushere,inconnu
3794,10845,Technique,Sociale,Mandai,inconnu
3795,10846,Scientifique,Mathématique Physique,Oicha,inconnu
3796,10847,Scientifique,Biologie Chimie,IDAP/ISP Bunia,inconnu
3797,10848,Pédagogique,Pédagogie Générale,Ushindi,inconnu
3798,10849,Technique,Electronique industrielle,ITIG,inconnu
3799,10850,Technique,Commerciale et Administrative,Mwanga,inconnu
3800,10851,Pédagogique,Pédagogie Générale,ISN NGALIEMA,inconnu
3801,10852,Pédagogique,Pédagogie Générale,Fadhili,inconnu
3802,10853,Scientifique,Mathématique Physique,Cidasa,inconnu
3803,10854,Technique,Sociale,Mwangaza,inconnu
3804,10855,Pédagogique,Pédagogie générale,Mehe,inconnu
3805,10856,Pédagogique,Pédagogie Générale,Moyo safi,inconnu
3806,10857,Littéraire,Latin-Philosophie,Mont Goma,inconnu
3807,10858,Littéraire,Latin-Philosophie,Himbi,inconnu
3808,10859,Scientifique,Biologie Chimie,Bungulu,inconnu
3809,10860,Technique,Commerciale et Administrative,Lycée Anuarite,inconnu
3810,10861,Pédagogique,Pédagogie Générale,Matumaini,inconnu
3811,10862,Scientifique,Biologie Chimie,IDAP/ISP Bunia,inconnu
3812,10863,Pédagogique,Pédagogie Générale,Kaya Cibanda,inconnu
3813,10864,Scientifique,Biologie Chimie,Goma,inconnu
3814,10865,Technique,Sociale,AMEN,inconnu
3815,10866,Scientifique,Mathématique Physique,EDAP/ISP Buta,inconnu
3816,10867,Technique,Electronique industrielle,Lycée Butembo,inconnu
3817,10868,Scientifique,Mathématique Physique,Ovoa,inconnu
3818,10869,Scientifique,Biologie Chimie,Mwanga,inconnu
3819,10870,Sciences Infirmères,Hospitalière,ITM Mweso,inconnu
3820,10871,Pédagogique,Pédagogie Générale,Mali,inconnu
3821,10872,Pédagogique,Pédagogie Générale,Kashofu,inconnu
3822,10873,Scientifique,Biologie Chimie,Isidore Bakanja,inconnu
3823,10874,Scientifique,Mathématique Physique,Kalimba,inconnu
3824,10875,Scientifique,Biologie Chimie,Mama yetu,inconnu
3825,10876,Technique,Commerciale et Administrative,ICL,inconnu
3826,10877,Scientifique,Mathématique Physique,Autodidacte,inconnu
3827,10878,Technique,Sociale,Lycée Sainte ursule,inconnu
3828,10879,Sciences Infirmères,Hospitalière,ITM Kyondo,inconnu
3829,10880,Technique,Coupe couture,Lycée Chemchem,inconnu
3830,10881,Pédagogique,Pédagogie Générale,Autodidacte,inconnu
3831,10882,Technique,Commerciale administrative,cs espoir,inconnu
3832,10883,Littéraire,Latin-Philosophie,Mwanga,inconnu
3833,10884,Littéraire,Latin-Philosophie,Savana,inconnu
3834,10885,Scientifique,Biologie Chimie,IP Kalima,inconnu
3835,10886,Pédagogique,Pédagogie Générale,Lycée Kimbilio,inconnu
3836,10887,Pédagogique,Pédagogie Générale,CS Ndosho,inconnu
3837,10888,Scientifique,Biologie Chimie,Maranatha,inconnu
3838,10889,Littéraire,Latin-Philosophie,Mont Goma,inconnu
3839,10890,Technique,Sociale,nYALUKEMBA,inconnu
3840,10892,Scientifique,Mathématique Physique,Butembo,inconnu
3841,10893,Technique,Commerciale et Administrative,Moria,inconnu
3842,10894,Littéraire,Latin-Philosophie,Mwanga,inconnu
3843,10895,Pédagogique,Pédagogie Générale,Ibanda,inconnu
3844,10896,Technique,Sociale,Mbolitini,protestant
3845,10897,Technique,Nutrition,Lycée Sainte Ursule,catholique
3846,10898,Technique,Hotesse d'acceuil,Gilgali,privé
3847,10900,sScientifique,Biologie Chimie,Mwanga,catholique
3848,10901,Scientifique,Mathématique physique,Kambali,catholique
3849,10903,Pédagogique,Pédagogie Générale,Lukweti,protestant
3850,10904,Pédagogique,Pédagogie Générale,Bakandja,catholique
3851,10905,Pédagogique,Pédagogie Générale,CS Don de Dieu,privé
3852,10906,Scientifique,Biologie Chimie,Nyamilima,catholique
3853,10907,Pédagogique,Pédagogie Générale,Matolu,protestant
3854,10909,Technique,Commerciale et Administrative,Lukanga,protestant
3855,10910,Littéraire,Latin-Philosophie,Bukavu,publique
3856,10911,Technique,Sociale,Nyalukemba,catholique
3857,10912,PEDAGOGIE,PEDAGOGIE GENERALE,Isidore Bakanja,catholique
3858,10914,Pédagogique,Pégagogie général,Kaya,protestant
3859,10915,Pédagogique,Pégagogie générale,lycée Bsangani,catholique
3860,10916,Scietifique,Biologie chimie,Mwanga,catholique
3861,10920,Littéraire,Latin-Philosophie,Saint Paul,catholique
3862,10921,Pédagogie,Pédagogie générale,Lwanga,inconnu
3863,10922,LITTERAIRE,LATIN PHILO,COLLEGE MWANGA,catholique
3864,10923,Pédagogique,Pégagogie générale,Eistein Ujuzi,privé
3865,10924,Technique,Electronique,ITIG,catholique
3866,10926,Technique,Sociale,Pilote de kalima,privé
3867,10927,Technique,Sociale,CS Jericho,privé
3868,10931,Technique,Commerciale Administrative,Butembo,publique
3869,10933,Pédagogique,Pégagogie Générale,Lukanga,protestant
3870,11031,Technique,Sociale,CS Fontaine,inconnu
3871,11131,Scientifique,Biologie chimie,CS Lafontaine,privé
3872,11132,Technique,Sociale,Lukuga,privé
3873,11134,Technique,Commerciale et administrative,Himbi,protestant
3874,11135,Pédagogique,Pédagogie Générale,Panda Danel,privé
3875,11235,scientifique,Bio chimie,MARANATHA,inconnu
3876,11244,Scientifique,Chimie Biologie,Lycée Amani,catholique
3877,11245,Technique,Sociale,Autodidacte,autodidacte
3878,11251,SCIENTIFIQUE,Bio chimie,Lycée Amani,catholique
3879,11264,SCIENTIFIQUE,MATHEMATIQUE- PHYSIQUE,Faraja,protestant
3880,11266,SCIENTIFIQUE,Bio chimie,Lycée AMANI,catholique
3881,11268,Scientifique,Biologie Chimie,Zuza,privé
3882,11269,Scientifique,Biologie Chimie,Lycée Amani,catholique
3883,11285,PEDAGOGIE,PEDAGOGIE GENERALE,Institut de Goma,publique
3884,11303,TECHNIQUE,SOCIALE,TOTORO,protestant
3885,11304,PEDAGOGIE,PEDAGOGIE GENERALE,Institut NYAMIANDA,publique
3886,11305,TECHNIQUE,CONSTRUCTION,Institut SAINT MARC,catholique
3887,11306,COMMERCIALE,COMMERCIALE INFORMATIQUE,CS MAMA MULEZI,privé
3888,11307,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut MAJENGO,protestant
3889,11308,TECHNIQUE,CONSTRUCTION,Intitut KYESHERO,protestant
3890,11309,LITTERAIRE,Latin Philo,Institut Metanoia,protestant
3891,11310,PEDAGOGIE,PEDAGOGIE GENERALE,Institut NDOSHO,publique
3892,11311,LITTERAIRE,Latin Philo,Institut  MWANGA,catholique
3893,11312,SCIENTIFIQUE,Bio chimie,Institut MARANATHA,protestant
3894,11313,SCIENTIFIQUE,Bio chimie,Intitut ISIDORE BAKANJA,catholique
3895,11315,TECHNIQUE,SOCIALE,Institut BEMBA GOMBO,catholique
3896,11316,TECHNIQUE,SOCIALE,Institut MSAWATO,publique
3897,11317,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut MAENDELEO,protestant
3898,11319,SCIENTIFIQUE,Bio chimie,Lycée AMANI,catholique
3899,11320,TECHNIQUE,SOCIALE,Lycée SAINT URSULE,catholique
3900,11321,PEDAGOGIE,PEDAGOGIE GENERALE,MUKABA,privé
3901,11322,SCIENTIFIQUE,Bio chimie,Institut ISIDORE BAKANJA,catholique
3902,11323,SCIENTIFIQUE,Bio chimie,ESPK/FOMULAC,catholique
3903,11324,SCIENTIFIQUE,Bio chimie,Institut BAKITA,privé
3904,11325,LITTERAIRE,Latin Philo,Institut Metanoia,protestant
3905,11326,PEDAGOGIE,PEDAGOGIE GENERALE,CS LES DIBOBOL,privé
3906,11327,COMMERCIALE,COMMERCIALE INFORMATIQUE,Institut UZIMA,publique
3907,11328,SCIENTIFIQUE,Bio chimie,Institut MWANGA,catholique
3908,11330,COMMERCIALE,COMMERCIALE INFORMATIQUE,Institut UZIMA,catholique
3909,11331,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Intitut ZANNER,protestant
3910,11332,COMMERCIALE,COMMERCIALE INFORMATIQUE,Institut UZIMA,catholique
3911,11333,SCIENTIFIQUE,Bio chimie,Institut MATENDO,protestant
3912,11334,TECHNIQUE,SOCIALE,Institut MIKENO NC,publique
3913,11335,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut de GOMA,publique
3914,11336,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Lycée ANUARITE,catholique
3915,11337,SCIENTIFIQUE,Bio chimie,Institut MARANATHA,privé
3916,11338,PEDAGOGIE,PEDAGOGIE GENERALE,Intitut ALLELUYA,publique
3917,11340,COMMERCIALE,COMMERCIALE INFORMATIQUE,CS MAMA MULEZI,privé
3918,11341,PEDAGOGIE,PEDAGOGIE GENERALE,Intitut MAVUNO,musulman
3919,11342,TECHNIQUE,ELECTRICITE,Institut VISOKE,protestant
3920,11343,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut MAENDELEO,protestant
3921,11344,SCIENTIFIQUE,Bio chimie,Institut ISIDORE BAKANJA,catholique
3922,11345,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut MAENDELEO,protestant
3923,11346,PEDAGOGIE,PEDAGOGIE GENERALE,CS LA VERONIQUE,privé
3924,11347,PEDAGOGIE,PEDAGOGIE GENERALE,Institut MULULU/SAKE,publique
3925,11348,PEDAGOGIE,PEDAGOGIE GENERALE,UJUMBE INSTITUT,privé
3926,11349,TECHNIQUE,SOCIALE,Lycée SAINT URSULE,catholique
3927,11350,TECHNIQUE,SOCIALE,CS DE L'UNITE,privé
3928,11351,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut MWANGA/UVIRA,catholique
3929,11352,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut NURU,privé
3930,11353,SCIENTIFIQUE,Bio chimie,Institut ISIDORE BAKANJA,catholique
3931,11354,COMMERCIALE,COMMERCIALE INFORMATIQUE,Institut GUIDO,catholique
3932,11355,SCIENTIFIQUE,Bio chimie,Institut de GOMA,publique
3933,11356,COMMERCIALE,COMMERCIALE INFORMATIQUE,Institut UZIMA,catholique
3934,11357,TECHNIQUE,SOCIALE,Institut MIKENO NC,publique
3935,11358,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,CS ESPOIR I,privé
3936,11359,TECHNIQUE,SOCIALE,Institut MGR MASIMANGO,protestant
3937,11360,SCIENTIFIQUE,Bio chimie,Institut MAJENGO,protestant
3938,11361,SCIENTIFIQUE,Bio chimie,CS MAMA MULEZI,privé
3939,11362,LITTERAIRE,Latin Philo,Institut METANOIA,protestant
3940,11363,SCIENTIFIQUE,Bio chimie,Institut ISIDORE BAKANJA,catholique
3941,11364,SCIENTIFIQUE,Bio chimie,Institut METANOIA,protestant
3942,11365,SCIENTIFIQUE,Bio chimie,Institut METANOIA,protestant
3943,11366,COMMERCIALE,COMMERCIALE INFORMATIQUE,Institut SEBYERA,catholique
3944,11367,PEDAGOGIE,PEDAGOGIE GENERALE,Institut BWITO,protestant
3945,11368,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut ZANER,protestant
3946,11369,PEDAGOGIE,PEDAGOGIE GENERALE,Institut de GOMA,publique
3947,11370,COMMERCIALE,COMMERCIALE INFORMATIQUE,CS AMEN,privé
3948,11371,TECHNIQUE,MECANIQUE GENERALE,ITI GOMA,catholique
3949,11372,PEDAGOGIE,PEDAGOGIE GENERALE,CS VIRUNGA/SUD,privé
3950,11373,PEDAGOGIE,PEDAGOGIE GENERALE,Institut AUTODIDACTES,publique
3951,11374,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut MWANGA,catholique
3952,11375,PEDAGOGIE,PEDAGOGIE GENERALE,Institut Amani CEBIA,protestant
3953,11377,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut ZAWADI YA RAISI,publique
3954,11378,TECHNIQUE,ELECTRICITE,ITP/GOMBE,publique
3955,11379,COMMERCIALE,COMMERCIALE INFORMATIQUE,Institut CARDINALE ETSOU,catholique
3956,11380,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut METANOIA,protestant
3957,11382,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut ZANER,protestant
3958,11383,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut MGR GUIDO,catholique
3959,11384,SCIENTIFIQUE,Bio chimie,Institut MWANGA,catholique
3960,11385,TECHNIQUE,AGRONOMIE,Institut BUNYAKIRI,protestant
3961,11386,TECHNIQUE,CONSTRUCTION,Institut SAINT MARC,catholique
3962,11387,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut MWANGA,catholique
3963,11388,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut ISIDORE BAKANJA,catholique
3964,11389,COMMERCIALE,COMMERCIALE INFORMATIQUE,Lycée  KI?BILIO,protestant
3965,11390,TECHNIQUE,CONSTRUCTION,Institut Kyeshero,protestant
3966,11391,SCIENTIFIQUE,Bio chimie,Institut MWANGA,catholique
3967,11392,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut HIMBI,protestant
3968,11393,PEDAGOGIE,PEDAGOGIE GENERALE,KIBALI INSTITUT,protestant
3969,11394,PEDAGOGIE,PEDAGOGIE GENERALE,Institut NYALUKEMBA,catholique
3970,11395,LITTERAIRE,Latin Philo,Institut METANOIA,protestant
3971,11396,PEDAGOGIE,PEDAGOGIE GENERALE,ALPHA INSTITUT,privé
3972,11397,SCIENTIFIQUE,MATHEMATIQUE- PHYSIQUE,Institut de GOMA,publique
3973,11398,SCIENTIFIQUE,Bio chimie,CS SHALOM,protestant
3974,11399,TECHNIQUE,SOCIALE,Institut SHALOM,privé
3975,11400,TECHNIQUE,NUTRITION,Lycée SAINT URSULE,catholique
3976,11401,PEDAGOGIE,PEDAGOGIE GENERALE,Institut MARANATHA,protestant
3977,11402,LITTERAIRE,Latin Philo,CS BANZA,privé
3978,11403,SCIENTIFIQUE,Bio chimie,Institut NJANJA,publique
3979,11404,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut SAINT ANDRE,catholique
3980,11405,TECHNIQUE,SOCIALE,Institut NYABUSHONGO,publique
3981,11406,SCIENTIFIQUE,Bio chimie,CS MAMA MULEZI,privé
3982,11407,SCIENTIFIQUE,Bio chimie,Institut de GOMA,publique
3983,11408,PEDAGOGIE,PEDAGOGIE GENERALE,CS KIYABO,privé
3984,11409,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut TUUNGANE,publique
3985,11410,TECHNIQUE,SOCIALE,Lycée SAINT URSULE,catholique
3986,11411,TECHNIQUE,SOCIALE,Institut KALUNGU,protestant
3987,11412,LITTERAIRE,Latin Philo,Institut MWANGA,catholique
3988,11413,PEDAGOGIE,PEDAGOGIE GENERALE,Institut NYABUSHONGO,publique
3989,11414,PEDAGOGIE,PEDAGOGIE GENERALE,Institut KASHOFU,catholique
3990,11415,LITTERAIRE,Latin Philo,Institut MWANGA,catholique
3991,11416,TECHNIQUE,CONSTRUCTION,Institut SAINT MARC,catholique
3992,11417,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut METANOIA,protestant
3993,11418,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut de GOMA,publique
3994,11419,TECHNIQUE,SOCIALE,Institut NOTRE DAME AUX LARMES,publique
3995,11420,TECHNIQUE,SOCIALE,CS SHALOOM,privé
3996,11421,TECHNIQUE,CONSTRUCTION,Institut Kyeshero,protestant
3997,11422,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut METANOIA,protestant
3998,11424,SCIENTIFIQUE,Bio chimie,Institut METANOIA,protestant
3999,11425,PEDAGOGIE,PEDAGOGIE GENERALE,Institut   BAHATI,catholique
4000,11426,SCIENTIFIQUE,Bio chimie,CS MAMA YETU,privé
4001,11427,PEDAGOGIE,PEDAGOGIE GENERALE,Institut METANOIA,protestant
4002,11428,SCIENTIFIQUE,Bio chimie,CS MAMA MULEZI,privé
4003,11429,LITTERAIRE,Latin Philo,Institut MONT GOMA,publique
4004,11430,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut MWANGA,catholique
4005,11431,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut MONT GOMA,publique
4006,11432,PEDAGOGIE,PEDAGOGIE GENERALE,Institut MSAWATO,protestant
4007,11433,TECHNIQUE,SOCIALE,Lycée SAINT URSULE,catholique
4008,11434,LITTERAIRE,Latin Philo,Institut ZANNER,protestant
4009,11435,SCIENTIFIQUE,Bio chimie,College SAINT ALPHONSE,catholique
4010,11436,TECHNIQUE,SOCIALE,Institut MORIA,publique
4011,11437,SCIENTIFIQUE,Bio chimie,Institut FARADJA,protestant
4012,11438,SCIENTIFIQUE,Bio chimie,CS MAMA YETU,privé
4013,11439,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut MGR GUIDO,catholique
4014,11440,PEDAGOGIE,PEDAGOGIE GENERALE,Institut BUGINA,publique
4015,11441,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut MAJENGO,protestant
4016,11442,TECHNIQUE,SOCIALE,CS BIMENYA,privé
4017,11443,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,Institut METANOIA,protestant
4018,11444,TECHNIQUE,SOCIALE,Lycée SAINT URSULE,catholique
4019,11445,LITTERAIRE,Latin Philo,CS La FONTAINE,privé
4020,11446,COMMERCIALE,COMMERCIALE INFORMATIQUE,CS AMEN,privé
4021,11447,COMMERCIALE,COMMERCIALE ET ADMINISTRATIVE,CS TUUNGANE,privé
4022,11449,TECHNIQUE,HOTESSE D'ACCEUIL,Institut SEBYERA,catholique
