,IDENTIFICATION,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS
387,4519,TECH,CA,INST MIKENO/ISLAMIQUE,inconnu
388,4528,TEC,CA,MAENDELEO,inconnu
389,4531,TEC,CA,LUKANGA,inconnu
390,4532,LIT,LP,METANOIA,inconnu
391,4533,TEC,CA,BAKANJA,inconnu
392,4535,TEC,CA,MWANGA,inconnu
393,4536,TEC,CA,MARANATHA,inconnu
394,4539,SC,BC,BAKANJA,inconnu
395,4542,SC,MP,INST NDAHURA,inconnu
396,4543,TECH,CA,INST MWANGA,inconnu
397,4544,PED,PG,LYCEE UMOJA,inconnu
398,4545,TEC,CA,INST ISIDORE BAKANDJA,inconnu
399,4550,PED,PG,VISOKE,inconnu
400,4552,TEC,CA,METANOIA,inconnu
401,4553,TECH,SOCIALE,HODARI,inconnu
402,4554,TEC,CA,KIRUMBA,inconnu
403,4556,TEC,CA,TUUNGANE,inconnu
404,4558,SC,BC,FARAJA,inconnu
405,4559,TEC,CA,META,inconnu
406,4560,TECH,CA,I BAKANJA,inconnu
407,4561,PED,PG,CS LUMIERE,inconnu
408,4562,TECH,CA,KATANA,inconnu
409,4563,LIT,LP,ALFAJIRI,inconnu
410,4566,HOTESE D'ACCEUIL,HOTESSE D'ACEUIL,INST MIKENO,inconnu
411,4567,TEC,CA,BAKANJA,inconnu
412,4569,TECH,CA,CS MAMA YETU,inconnu
413,4570,TECH,CA,INST MWANGA,inconnu
414,4574,TEC,SOC,MAENDELEO,inconnu
415,4577,PED,PG,KILUKU,inconnu
416,4585,SC,BC,FARAJA,inconnu
417,4587,TEC,CA,KASALI,inconnu
418,4592,inconnu,inconnu,METANOIA,inconnu
419,4595,PED,PG,METONOINA,inconnu
420,4596,TEC,CA,META,inconnu
421,4597,TECSC,BC,METANOIA,inconnu
422,4602,PED,PG,COLLEGE LA VALLEE,inconnu
423,4603,TECH,NUTRITION,LYCEE CHEMCHEM,inconnu
424,4605,PED,PG,INST AZUHURI,inconnu
425,4609,SC,BC,KIRIMAVOLO,inconnu
426,4612,TECH,INFORMATIQUE,MALKIA WA MBINGU,inconnu
427,4617,SC,BC,EDAP/ISP,inconnu
428,4619,SC,MP,MAJENGO,inconnu
429,4620,SC,MP,MAJENGO,inconnu
430,4622,SC,MP,NDAHURA,inconnu
431,4624,TECH,CA,METANOIA,inconnu
432,4625,TEC,SOCIALE,MONT CARMEL,inconnu
433,4627,LIT,LP,ZANNER,inconnu
434,4628,SC,MP,OICHA,inconnu
435,4629,PED,PG,NYABUSHONGO,inconnu
436,4630,TEC,SOCIALE,MIKENO OFF,inconnu
437,4631,TEC,SOCIALE,MACHA,inconnu
438,4632,SC,BC,MAJENGO,inconnu
439,4635,PED,PG,UAMINIFU,inconnu
440,4637,PED,PG,INST KASUO,inconnu
441,4638,PED,PG,AUTO,inconnu
442,4639,PED,PG,CHIDASA,inconnu
443,4642,SC,BC,METANOIA,inconnu
444,4643,PED,PG,MABULA,inconnu
445,4644,PED,PG,CS SEAMEN,inconnu
