,ID,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,PROM,Echec,Pass1erSession,Distinction,PercFinal
301,4137,2012-2013,65.0,S,,,FD,L2,False,True,False,65.0
302,4140,2013-2014,,AA,,AA,FSEG,L1,True,False,False,48.0
303,4140,2014-2015,,AA,57.9000015259,S,FSEG,L1,False,False,False,57.9000015259
304,4140,2015-2016,,A,62.7000007629,S,FSEG,L2,False,False,False,62.7000007629
305,4143,2015-2016,,AA,,AA,FPSE,G3,True,False,False,45.0
306,4149,2012-2013,71.3000030518,D,,,FT,L2,False,True,True,71.3000030518
307,4167,2012-2013,61.0999984741,S,,,FSEG,L2,False,True,False,61.0999984741
308,4168,2013-2014,,A,57.9000015259,S,FSEG,L2,False,False,False,57.9000015259
309,4171,2013-2014,,AA,58.7999992371,S,FSEG,L1,False,False,False,58.7999992371
310,4171,2014-2015,,AA,,A,FSEG,L2,True,False,False,40.0
311,4172,2013-2014,,AA,63.9000015259,S,FSEG,L2,False,False,False,63.9000015259
312,4177,2013-2014,,AA,65.8000030518,S,FSEG,L2,False,False,False,65.8000030518
313,4178,2012-2013,60.0999984741,S,,,FSEG,L2,False,True,False,60.0999984741
314,4181,2012-2013,62.4000015259,S,,,FD,L1,False,True,False,62.4000015259
315,4181,2013-2014,,A,70.1999969482,D,FD,L2,False,False,True,70.1999969482
316,4183,2012-2013,71.0,D,,,FSEG,L2,False,True,True,71.0
317,4185,2013-2014,,AA,61.2000007629,S,FSEG,L2,False,False,False,61.2000007629
318,4197,2013-2014,,AA,,A,FSTA,Tech2,True,False,False,49.0
319,4200,2013-2014,,AA,66.5999984741,S,FSTA,Tech1,False,False,False,66.5999984741
320,4200,2014-2015,,AA,,A,FSTA,Tech2,True,False,False,44.0
321,4206,2012-2013,55.2999992371,S,,,FSEG,L1,False,True,False,55.2999992371
322,4206,2013-2014,63.5,S,,,FSEG,L2,False,True,False,63.5
323,4214,2013-2014,66.5999984741,S,,,FSEG,L2,False,True,False,66.5999984741
324,4216,2013-2014,62.7999992371,S,,,FSEG,L2,False,True,False,62.7999992371
325,4217,2013-2014,61.2999992371,S,,,FSEG,L2,False,True,False,61.2999992371
326,4225,2013-2014,,AA,,AA,FSEG,G3,True,False,False,44.0
327,4225,2014-2015,,AA,55.2999992371,S,FSEG,G3,False,False,False,55.2999992371
328,4227,2013-2014,,AA,64.8000030518,S,FSEG,L2,False,False,False,64.8000030518
