,Unnamed: 0,DIPLOMSECTION,DIPLOMOPTION,SCHOOL,SCHOOLSTATUS,SCHOOL_CORRECT,SCHOOL_RIGHT,OPTION
573,573,SC,bc,majengo,inconnu,majengo,majengo,bio-chimie
574,574,SC,bc,lycee amani,inconnu,amani,amani,bio-chimie
575,575,LIT,lp,mwana,inconnu,mwana,mwana,latin philo
576,576,LIT,lp,metanoia,inconnu,metanoia,metanoia,latin philo
577,577,LIT,lp,matanoia,inconnu,matanoia,metanoia,latin philo
578,578,SC,bc,l amani,inconnu,l amani,amani,bio-chimie
579,579,PED,pg,kasabinyole,inconnu,kasabinyole,it kasabinyole,pedagogie
580,580,TEC NUTRI,inconnu,kavaghendi,inconnu,kavaghendi,kashenda,inconnu
581,581,SC,bc,l mwandu,inconnu,l mwandu,l mwandu,bio-chimie
582,582,TEC,nutr,petits genies,inconnu,petits genies,petits génies,nutr
583,583,Pédagogique,pédagogie générale,furaha,inconnu,furaha,mukaba,pedagogie
584,584,TECH,ca,inst de goma,inconnu,de goma,de goma,commmerciale et adm
585,585,TECH,sociale,mikeno/nc,inconnu,mikeno/nc,mikeno nc,sociale
586,586,SC,bc,majengo,inconnu,majengo,majengo,bio-chimie
587,587,TECHN,sociale,i maendeleo,inconnu,maendeleo,maendeleo,sociale
588,588,PED,pg,metanoia,inconnu,metanoia,metanoia,pedagogie
589,589,LIT,lp,himbi,inconnu,himbi,himbi,latin philo
590,590,PED,pg,kalambairo,inconnu,kalambairo,kalimba,pedagogie
591,591,PED,pg,amani,inconnu,amani,amani,pedagogie
592,592,LIT,lp,mont goma,inconnu,mont goma,ngoma,latin philo
593,593,TEC,ca,tumaini,inconnu,tumaini,muhini,commmerciale et adm
594,594,SC,mp,inst de goma,inconnu,de goma,de goma,math-physique
595,595,PED,pg,metanoia,inconnu,metanoia,metanoia,pedagogie
596,596,PED,pg,metanoia,inconnu,metanoia,metanoia,pedagogie
597,597,PED,pg,metanoia,inconnu,metanoia,metanoia,pedagogie
598,598,PED,pg,kasika,inconnu,kasika,kasika,pedagogie
599,599,PED,pg,umoja,inconnu,umoja,ngoma,pedagogie
600,600,TECH,sociale,i rutoboko,inconnu,rutoboko,rutoboko,sociale
601,601,PED,pg,moria,inconnu,moria,moria,pedagogie
602,602,TEC,sociale,it bugabo,inconnu,it bugabo,it bugabo,sociale
603,603,TEC,sociale,ruwenzori,inconnu,ruwenzori,ruwenzori,sociale
604,604,TEC,sociale,kigonze,inconnu,kigonze,kigonza,sociale
605,605,LIT,lp,himbi,inconnu,himbi,himbi,latin philo
606,606,LIT,lp,mont sinai,inconnu,mont sinai,mont sinai,latin philo
607,607,TEC,ca,lycee wima,inconnu,wima,wima,commmerciale et adm
608,608,TEC,ca,mwanga,inconnu,mwanga,mwanga,commmerciale et adm
609,609,PED,pg,bikuka,inconnu,bikuka,bikuka,pedagogie
610,610,PED,pg,kitsombiro,inconnu,kitsombiro,kitsombiro,pedagogie
611,611,TEC,ca,ibanda,inconnu,ibanda,ibanda,commmerciale et adm
612,612,PED,pg,auto,inconnu,auto,auto,pedagogie
613,613,TEC,soc,buturande,inconnu,buturande,bulera,sociale
614,614,PED,pg,mont goma,inconnu,mont goma,ngoma,pedagogie
615,615,PED,pg,metanoia,inconnu,metanoia,metanoia,pedagogie
616,616,SC,mp,instigo,inconnu,instigo,de goma,math-physique
617,617,LIT,lp,mont sinai,inconnu,mont sinai,mont sinai,latin philo
618,618,PED,pg,kyeshero,inconnu,kyeshero,kyeshero,pedagogie
619,619,LIT,lp,mwanga,inconnu,mwanga,mwanga,latin philo
620,620,LIT,lp,kanzulinzuli,inconnu,kanzulinzuli,kanzulinzuli,latin philo
621,621,SCIENTIFIQUE,bio chimie,inst tupendane,inconnu,tupendane,tupendane,bio-chimie
622,622,LIT,lp,zanner,inconnu,zanner,zanner,latin philo
623,623,TECH,sociale,maendeleo,inconnu,maendeleo,maendeleo,sociale
624,624,LIT,lp,maendeleo,inconnu,maendeleo,maendeleo,latin philo
625,625,TEC,ca,edac/isegea,inconnu,edac/isegea,edac/isgea,commmerciale et adm
626,626,SC,bc,mwanga,inconnu,mwanga,mwanga,bio-chimie
627,627,PED,pg,metanoia,inconnu,metanoia,metanoia,pedagogie
628,628,PED,pg,autodidacte,inconnu,autodidacte,autodidacte,pedagogie
629,629,PED,pg,inst kalungu,inconnu,kalungu,kalungu,pedagogie
630,630,PEDAGOGIEQUE,pedagerale,kasali,inconnu,kasali,kasali,pedagogie
631,631,PED,pg,bunyangingi,inconnu,bunyangingi,bsangani,pedagogie
632,632,PED,pg,kyatenga,inconnu,kyatenga,kyatenga,pedagogie
633,633,PED,pg,de bagira,inconnu,de bagira,de bagira,pedagogie
634,634,PED,pg,moria,inconnu,moria,moria,pedagogie
635,635,ped,pg,8 mars,inconnu,8 mars,gs 8 mars,pedagogie
636,636,PED,pg,ihimbi,inconnu,ihimbi,himbi,pedagogie
637,637,PED,pg,nyamokola,inconnu,nyamokola,nyamukola,pedagogie
638,638,SC,bc,i bigilimani,inconnu,bigilimani,bigilimani,bio-chimie
639,639,TEC,siciale,mont carmel,inconnu,mont carmel,mont caemel,sociale
640,640,TEC,ca,metanoia,inconnu,metanoia,metanoia,commmerciale et adm
641,641,TEC,ca,mwanga,inconnu,mwanga,mwanga,commmerciale et adm
642,642,PED,pg,lumiere,inconnu,lumiere,lumiere,pedagogie
643,643,TEC,ca,mama yetu,inconnu,mama yetu,mama yetu,commmerciale et adm
644,644,PED,pg,bakanja,inconnu,bakanja,bakadja,pedagogie
645,645,PED,pg,mambowa,inconnu,mambowa,mambowa,pedagogie
646,646,ECONOMIE,inconnu,ecole belge,inconnu,belge,belge,inconnu
647,647,PED,pg,lwanga,inconnu,lwanga,lwanga,pedagogie
648,648,LIT,lp,metanoia,inconnu,metanoia,metanoia,latin philo
649,649,PED,pg,sayuni,inconnu,sayuni,sayuni,pedagogie
650,650,TEC,construction,oicha,inconnu,oicha,oicha,construction
651,651,PED,pg,nyamusuru,inconnu,nyamusuru,nyamukola,pedagogie
