,IDENTIFICATION,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,OPT,PROM
6294,9515,2013-2014,56.4000015259,S,,,FSTA,Tronc commun,G0
6295,9515,2014-2015,52.5,A,63.0,S,FSTA,Tronc commun,G1
6296,9515,2015-2016,,AA,55.4000015259,S,FSTA,Génie Civil,G2
6297,9516,2013-2014,42.2999992371,A,50.0,A,FSEG,Tronc commun,G1
6298,9516,2014-2015,,AA,56.7999992371,S,FSEG,Tronc commun,G1
6299,9516,2015-2016,49.7000007629,A,53.7999992371,S,FSEG,Tronc commun,G2
6300,9517,2013-2014,,AA,,AA,FSTA,Tronc commun,G0
6301,9518,2013-2014,57.9000015259,S,,,FSTA,Tronc commun,G0
6302,9518,2014-2015,53.7000007629,A,57.0999984741,S,FSTA,Tronc commun,G1
6303,9519,2013-2014,65.6999969482,S,,,FSTA,Tronc commun,G0
6304,9519,2014-2015,69.6999969482,S,,,FSTA,Tronc commun,G1
6305,9519,2015-2016,68.8000030518,S,,,FSTA,Génie Électrique,G2
6306,9520,2013-2014,,AA,,AA,FSTA,Tronc commun,G0
6307,9521,2013-2014,,AA,,AA,FSTA,Tronc commun,G0
6308,9522,2013-2014,57.5,S,,,FD,Tronc commun,G1
6309,9522,2014-2015,,AA,55.4000015259,S,FD,Tronc commun,G2
6310,9522,2015-2016,,AA,59.4000015259,S,FD,Droit Public,G3
6311,9523,2013-2014,46.0999984741,A,,AA,FSTA,Tronc commun,G0
6312,9524,2013-2014,63.4000015259,S,,,FSTA,Tronc commun,G0
6313,9524,2014-2015,65.3000030518,S,,,FSTA,Tronc commun,G1
6314,9524,2015-2016,55.4000015259,S,,,FSTA,Génie Civil,G2
6315,9525,2013-2014,,AA,,AA,FSEG,Tronc commun,G1
6316,9525,2015-2016,,AA,,AA,FSTA,Tronc commun,G0
6317,9526,2013-2014,,AA,50.2999992371,A,FSTA,Tronc commun,G0
6318,9527,2013-2014,74.8000030518,D,,,FSTA,Tronc commun,G0
6319,9527,2014-2015,77.1999969482,D,,,FSTA,Tronc commun,G1
6320,9527,2015-2016,75.5999984741,D,,,FSTA,Génie Civil,G2
6321,9528,2013-2014,60.2000007629,S,,,FSTA,Tronc commun,G0
6322,9528,2014-2015,,AA,63.9000015259,S,FSTA,Tronc commun,G1
6323,9528,2015-2016,57.0,A,61.7000007629,S,FSTA,Génie Informatique,G2
6324,9529,2013-2014,,AA,,AA,FSTA,Tronc commun,G0
6325,9530,2013-2014,,AA,,AA,FSEG,Microfinance et Banque,L1
6326,9531,2013-2014,,AA,56.4000015259,S,FSEG,Tronc commun,G1
6327,9531,2014-2015,,AA,61.7000007629,S,FSEG,Tronc commun,G2
6328,9531,2015-2016,53.5,A,60.2999992371,S,FSEG,Tronc commun,G3
6329,9532,2013-2014,,AA,61.2999992371,S,FSDC,Tronc commun,G1
6330,9532,2014-2015,,AA,54.5999984741,S,FSDC,Tronc commun,G2
6331,9532,2015-2016,,A,60.0999984741,S,FSDC,Tronc commun,G3
6332,9533,2013-2014,,AA,65.0,S,FSDC,Tronc commun,G1
6333,9533,2014-2015,,AA,57.7999992371,S,FSDC,Tronc commun,G2
6334,9533,2015-2016,63.7999992371,S,,,FSDC,Tronc commun,G3
6335,9534,2013-2014,,AA,54.7999992371,A,FT,Tronc commun,G1
6336,9535,2013-2014,59.2000007629,A,59.2999992371,S,FPSE,Sciences de l'Éducation,G3
6337,9536,2013-2014,,AA,58.7000007629,S,FT,Tronc commun,G1
6338,9536,2014-2015,,AA,56.5,S,FT,Tronc commun,G2
6339,9536,2015-2016,,AA,,A,FT,Tronc commun,G3
6340,9537,2013-2014,,AA,54.0999984741,A,FSDC,Tronc commun,G1
6341,9538,2013-2014,,AA,48.2000007629,A,FSEG,Tronc commun,G1
6342,9539,2013-2014,,AA,61.4000015259,S,FSTA,Tronc commun,G0
6343,9539,2014-2015,,AA,66.4000015259,S,FSTA,Tronc commun,G1
6344,9539,2015-2016,,AA,58.7000007629,S,FSTA,Génie Civil,G2
6345,9540,2013-2014,,AA,65.1999969482,S,FSTA,Tronc commun,G0
6346,9540,2014-2015,65.6999969482,S,,,FSTA,Tronc commun,G1
6347,9540,2015-2016,69.0999984741,S,,,FSTA,Génie Informatique,G2
6348,9542,2013-2014,47.2000007629,A,59.5999984741,S,FSEG,Tronc commun,G1
6349,9542,2014-2015,,AA,59.2000007629,S,FSEG,Tronc commun,G2
6350,9542,2015-2016,,AA,55.5999984741,S,FSEG,Tronc commun,G3
