,ID,CGPA,DistinctionRatio,EchecRatio,NACADYEAR,Pass1stSessionRatio
236,4181,66.2999992371,0.5,0.0,2.0,0.5
237,4183,71.0,1.0,0.0,1.0,1.0
238,4185,61.2000007629,0.0,0.0,1.0,0.0
239,4197,47.25,0.0,1.0,1.0,0.0
240,4200,58.1749992371,0.0,0.5,2.0,0.0
241,4206,59.3999996185,0.0,0.0,2.0,1.0
242,4214,66.5999984741,0.0,0.0,1.0,1.0
243,4216,62.7999992371,0.0,0.0,1.0,1.0
244,4217,61.2999992371,0.0,0.0,1.0,1.0
245,4225,51.5249996185,0.0,0.5,2.0,0.0
246,4227,64.8000030518,0.0,0.0,1.0,0.0
247,4231,63.5,0.0,0.0,1.0,0.0
248,4233,60.2999992371,0.0,0.0,1.0,1.0
249,4236,54.4000015259,0.0,1.0,1.0,0.0
250,4238,63.7000007629,0.0,0.0,1.0,0.0
251,4240,61.2999992371,0.0,0.0,1.0,0.0
252,4241,62.0999984741,0.0,0.0,1.0,1.0
253,4245,55.6749992371,0.0,0.5,2.0,0.0
254,4246,45.6499996185,0.0,1.0,2.0,0.0
255,4249,75.3499984741,1.0,0.0,2.0,0.5
256,4252,62.5999984741,0.0,0.0,1.0,1.0
257,4254,54.3999996185,0.0,0.5,2.0,0.0
258,4255,60.5999984741,0.0,0.0,1.0,0.0
259,4258,71.5499992371,1.0,0.0,2.0,1.0
260,4261,47.25,0.0,1.0,1.0,0.0
261,4263,61.7999992371,0.0,0.0,2.0,1.0
262,4267,56.8500003815,0.0,0.0,2.0,0.0
263,4269,68.3000030518,0.0,0.0,1.0,1.0
264,4270,67.5,0.0,0.0,1.0,1.0
265,4271,60.5,0.0,0.0,1.0,1.0
266,4272,47.25,0.0,1.0,1.0,0.0
267,4274,67.8000030518,0.0,0.0,1.0,0.0
268,4276,58.4500007629,0.0,0.0,2.0,0.0
269,4277,54.3999996185,0.0,0.5,2.0,0.0
270,4278,54.2250003815,0.0,0.5,2.0,0.0
271,4280,66.5,0.0,0.0,2.0,0.0
272,4282,70.75,0.5,0.0,2.0,0.0
273,4284,51.883333842,0.0,0.666666666667,3.0,0.0
274,4298,54.4750003815,0.0,0.5,2.0,0.0
275,4299,70.75,0.5,0.0,2.0,0.0
276,4300,64.6500015259,0.0,0.0,2.0,0.0
277,4301,57.3999996185,0.0,0.0,2.0,0.0
278,4306,72.2999992371,0.5,0.0,2.0,0.5
279,4307,63.2999992371,0.0,0.0,2.0,0.0
280,4309,71.4500007629,0.5,0.0,2.0,0.5
281,4310,57.375,0.0,0.5,2.0,0.0
282,4311,61.3333320618,0.0,0.0,3.0,0.0
283,4313,68.6000022888,0.5,0.0,2.0,0.0
284,4315,65.8000030518,0.0,0.0,1.0,1.0
285,4316,63.9000015259,0.0,0.0,1.0,1.0
286,4319,63.5,0.0,0.0,1.0,0.0
287,4320,67.0,0.0,0.0,1.0,1.0
288,4323,56.3500003815,0.0,0.5,2.0,0.0
289,4325,63.7000007629,0.0,0.0,1.0,1.0
290,4326,63.0999984741,0.0,0.0,1.0,0.0
291,4327,67.4000015259,0.0,0.0,2.0,1.0
292,4329,61.2999992371,0.0,0.0,1.0,0.0
293,4330,59.7999992371,0.0,0.0,1.0,0.0
294,4333,51.2999992371,0.0,1.0,1.0,0.0
295,4334,60.7999992371,0.0,0.0,1.0,0.0
296,4335,47.0,0.0,1.0,1.0,0.0
297,4338,55.7999992371,0.0,0.0,1.0,0.0
298,4340,63.0999984741,0.0,0.0,1.0,0.0
299,4341,61.7000007629,0.0,0.0,1.0,1.0
300,4342,63.0,0.0,0.0,1.0,1.0
301,4344,61.5999984741,0.0,0.0,1.0,0.0
302,4346,63.7000007629,0.0,0.0,1.0,1.0
303,4347,60.5999984741,0.0,0.0,1.0,0.0
304,4348,68.25,0.5,0.0,2.0,1.0
305,4349,67.0999984741,0.0,0.0,1.0,1.0
306,4352,57.75,0.0,0.0,2.0,0.5
307,4354,64.5999984741,0.0,0.0,1.0,1.0
308,4355,60.7000007629,0.0,0.0,1.0,0.0
309,4357,55.6999988556,0.0,0.0,2.0,0.0
310,4358,57.4000015259,0.0,0.0,1.0,0.0
311,4359,65.1999969482,0.0,0.0,1.0,1.0
312,4360,58.4000015259,0.0,0.0,1.0,0.0
313,4362,48.75,0.0,1.0,1.0,0.0
314,4363,58.5999984741,0.0,0.0,1.0,0.0
315,4364,59.7000007629,0.0,0.0,1.0,0.0
316,4365,48.25,0.0,1.0,1.0,0.0
317,4367,61.5,0.0,0.0,1.0,0.0
318,4369,67.1000022888,0.0,0.0,2.0,1.0
319,4370,60.2000007629,0.0,0.0,1.0,1.0
320,4371,64.75,0.0,0.0,2.0,0.0
321,4372,47.5,0.0,1.0,1.0,0.0
322,4375,64.3000030518,0.0,0.0,1.0,0.0
323,4377,47.9500007629,0.0,1.0,2.0,0.0
324,4378,56.8250007629,0.0,0.5,2.0,0.0
325,4379,59.6000010172,0.0,0.333333333333,3.0,0.0
326,4380,63.1500015259,0.0,0.0,2.0,0.0
327,4381,63.7000007629,0.5,0.0,2.0,0.0
328,4383,65.4499988555,0.0,0.0,2.0,0.0
